Action,File,Sheet,Ref,Date,Venue,Detail
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R62,2026-06-27,Ward End Park,raw_date=blank; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R63,2026-06-27,Ward End Park,raw_date=blank; contiguous same day/time as prior row
SOURCE_SHEET_NAME_NORMALISED,Tennis Register 2025 (2).xlsx,St Albans,,,St Albans,workbook sheet 'St Albans ' treated as 'St Albans'
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R41,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R42,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R43,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R44,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R45,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R46,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R47,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R48,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R49,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R50,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R51,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R52,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R53,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R54,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R55,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R56,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R57,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R58,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,St Albans,R59,2026-02-24,St Albans,serial 2026-02-24 00:00:00 conflicts with Month=January; carried same contiguous session date 2026-02-24
SOURCE_TIME_CORRECTED,Tennis Register 2025 (2).xlsx,Cannon Hill,R70,2026-06-09,Cannon Hill Park,11:30:00-12:33:00 -> 11:30-12:30; incremental source typo within recurring slot
SOURCE_TIME_CORRECTED,Tennis Register 2025 (2).xlsx,Cannon Hill,R71,2026-06-09,Cannon Hill Park,11:30:00-12:34:00 -> 11:30-12:30; incremental source typo within recurring slot
SOURCE_TIME_CORRECTED,Tennis Register 2025 (2).xlsx,Cannon Hill,R72,2026-06-09,Cannon Hill Park,11:30:00-12:35:00 -> 11:30-12:30; incremental source typo within recurring slot
SOURCE_TIME_CORRECTED,Tennis Register 2025 (2).xlsx,Cannon Hill,R73,2026-06-09,Cannon Hill Park,11:30:00-12:36:00 -> 11:30-12:30; incremental source typo within recurring slot
SOURCE_TIME_CORRECTED,Tennis Register 2025 (2).xlsx,Cannon Hill,R74,2026-06-09,Cannon Hill Park,11:30:00-12:37:00 -> 11:30-12:30; incremental source typo within recurring slot
SOURCE_UNDATED_ATTENDANCE_SKIPPED,Tennis Register 2025 (2).xlsx,Cannon Hill,R205,,Cannon Hill Park,identity=444; no defensible session date
SOURCE_TIME_CORRECTED_TO_SESSION_MODE,Tennis Register 2025 (2).xlsx,Calthorpe,R220,2026-06-03,Calthorpe Wellbeing Hub,12:15:00-13:16:00 -> 12:15:00-13:15:00
SOURCE_TIME_CORRECTED_TO_SESSION_MODE,Tennis Register 2025 (2).xlsx,Calthorpe,R221,2026-06-03,Calthorpe Wellbeing Hub,12:15:00-13:17:00 -> 12:15:00-13:15:00
SOURCE_TIME_CORRECTED_TO_SESSION_MODE,Tennis Register 2025 (2).xlsx,Calthorpe,R222,2026-06-03,Calthorpe Wellbeing Hub,12:15:00-13:18:00 -> 12:15:00-13:15:00
SOURCE_TIME_CORRECTED_TO_SESSION_MODE,Tennis Register 2025 (2).xlsx,Calthorpe,R323,2026-07-15,Calthorpe Wellbeing Hub,12:15:00-13:16:00 -> 12:15:00-13:15:00
SOURCE_TIME_CORRECTED_TO_SESSION_MODE,Tennis Register 2025 (2).xlsx,Calthorpe,R324,2026-07-15,Calthorpe Wellbeing Hub,12:15:00-13:17:00 -> 12:15:00-13:15:00
SOURCE_TIME_CORRECTED_TO_SESSION_MODE,Tennis Register 2025 (2).xlsx,Calthorpe,R325,2026-07-15,Calthorpe Wellbeing Hub,12:15:00-13:18:00 -> 12:15:00-13:15:00
SOURCE_TIME_CORRECTED_TO_SESSION_MODE,Tennis Register 2025 (2).xlsx,Calthorpe,R326,2026-07-15,Calthorpe Wellbeing Hub,12:15:00-13:19:00 -> 12:15:00-13:15:00
SOURCE_TIME_CORRECTED_TO_SESSION_MODE,Tennis Register 2025 (2).xlsx,Calthorpe,R327,2026-07-15,Calthorpe Wellbeing Hub,12:15:00-13:20:00 -> 12:15:00-13:15:00
SOURCE_TIME_CORRECTED_TO_SESSION_MODE,Tennis Register 2025 (2).xlsx,Calthorpe,R331,2026-07-17,Calthorpe Wellbeing Hub,12:15:00-13:16:00 -> 12:15:00-13:15:00
